Observed,Predicted,LowerBound,UpperBound,Anomalous,Error,Threshold
740.449,nan,nan,nan,0,nan,0.0038
739.917,nan,nan,nan,0,nan,0.0038
739.022,nan,nan,nan,0,nan,0.0038
738.561,nan,nan,nan,0,nan,0.0038
737.592,nan,nan,nan,0,nan,0.0038
736.965,nan,nan,nan,0,nan,0.0038
735.784,nan,nan,nan,0,nan,0.0038
735.165,nan,nan,nan,0,nan,0.0038
734.452,nan,nan,nan,0,nan,0.0038
734.652,nan,nan,nan,0,nan,0.0038
734.562,nan,nan,nan,0,nan,0.0038
734.543,nan,nan,nan,0,nan,0.0038
734.805,nan,nan,nan,0,nan,0.0038
735.542,nan,nan,nan,0,nan,0.0038
735.88,nan,nan,nan,0,nan,0.0038
736.053,nan,nan,nan,0,nan,0.0038
736.898,nan,nan,nan,0,nan,0.0038
737.635,nan,nan,nan,0,nan,0.0038
738.426,nan,nan,nan,0,nan,0.0038
739.329,nan,nan,nan,0,nan,0.0038
740.412,nan,nan,nan,0,nan,0.0038
741.16,nan,nan,nan,0,nan,0.0038
741.732,nan,nan,nan,0,nan,0.0038
742.124,nan,nan,nan,0,nan,0.0038
741.836,nan,nan,nan,0,nan,0.0038
741.254,nan,nan,nan,0,nan,0.0038
740.528,nan,nan,nan,0,nan,0.0038
739.544,nan,nan,nan,0,nan,0.0038
738.611,nan,nan,nan,0,nan,0.0038
737.704,nan,nan,nan,0,nan,0.0038
736.926,nan,nan,nan,0,nan,0.0038
736.34,nan,nan,nan,0,nan,0.0038
735.86,nan,nan,nan,0,nan,0.0038
735.198,nan,nan,nan,0,nan,0.0038
734.952,nan,nan,nan,0,nan,0.0038
735.302,nan,nan,nan,0,nan,0.0038
735.459,nan,nan,nan,0,nan,0.0038
736.132,nan,nan,nan,0,nan,0.0038
737.174,nan,nan,nan,0,nan,0.0038
737.66,nan,nan,nan,0,nan,0.0038
738.375,nan,nan,nan,0,nan,0.0038
739.699,nan,nan,nan,0,nan,0.0038
740.702,nan,nan,nan,0,nan,0.0038
741.183,nan,nan,nan,0,nan,0.0038
742.063,nan,nan,nan,0,nan,0.0038
742.743,nan,nan,nan,0,nan,0.0038
743.26,nan,nan,nan,0,nan,0.0038
743.955,nan,nan,nan,0,nan,0.0038
743.277,nan,nan,nan,0,nan,0.0038
