observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
751.165,768.898,754.986,782.809,0,0,0.2,0.278226
750.323,768.908,754.785,783.031,0,0,0.2,0.282461
749.81,768.187,754.112,782.262,0,0,0.2,0.281498
750.04,767.911,753.697,782.124,0,0,0.2,0.284264
750.587,768.348,754.279,782.417,0,0,0.2,0.281376
751.238,768.362,754.324,782.399,0,0,0.2,0.280749
752.324,767.932,753.911,781.953,0,0,0.2,0.280423
753.45,768.421,754.427,782.416,0,0,0.2,0.279887
754.459,768.247,754.354,782.14,0,0,0.2,0.277858
755.884,768.206,754.396,782.016,0,0,0.2,0.276202
756.789,768.361,754.563,782.159,0,0,0.2,0.27596
757.606,768.339,754.39,782.289,0,0,0.2,0.278984
758.843,768.688,754.989,782.387,0,0,0.196899,0.273984
759.681,768.777,754.725,782.829,0,0,0.181919,0.281047
760.303,768.68,754.907,782.453,0,0,0.167541,0.27546
760.715,768.79,755.24,782.341,0,0,0.161508,0.271019
760.55,768.867,755.308,782.426,0,0,0.166334,0.27118
759.868,769.291,755.781,782.801,0,0,0.188466,0.270198
759.35,769.899,756.402,783.397,0,0,0.2,0.269946
758.528,769.577,756.051,783.103,0,0,0.2,0.270511
756.973,768.414,754.667,782.161,0,0,0.2,0.274949
755.708,769.633,755.747,783.518,0,0,0.2,0.277707
754.8,768.421,754.53,782.313,0,0,0.2,0.277824
752.92,768.71,754.781,782.638,0,0,0.2,0.278574
751.924,769.294,755.451,783.136,0,0,0.2,0.276848
750.917,769.134,755.253,783.014,0,0,0.2,0.277603
749.894,766.972,753.234,780.711,0,0,0.2,0.274764
749.676,768.478,754.623,782.334,0,0,0.2,0.277105
749.7,767.985,754.456,781.514,0,0,0.2,0.270574
749.946,767.376,753.735,781.018,0,0,0.2,0.272831
751.26,767.995,754.05,781.939,0,0,0.2,0.278891
751.871,767.659,753.862,781.456,0,0,0.2,0.275942
753.182,768.386,754.492,782.28,0,0,0.2,0.277872
754.343,767.116,753.237,780.995,0,0,0.2,0.277574
755.907,767.579,753.758,781.401,0,0,0.2,0.276423
757.006,768.129,754.163,782.096,0,0,0.2,0.279329
758.142,768.037,754.034,782.04,0,0,0.197905,0.280064
758.985,768.206,754,782.412,0,0,0.184416,0.284117
760.028,767.938,753.712,782.164,0,0,0.158199,0.284526
760.704,768.735,754.918,782.551,0,0,0.160617,0.276333
760.953,767.789,753.963,781.614,0,0,0.136711,0.276514
760.517,768.916,755.319,782.513,0,0,0.167979,0.271947
760.054,768.413,755.167,781.658,0,0,0.167171,0.264914
759.383,768.867,755.294,782.439,0,0,0.189673,0.271457
758.277,769.247,755.69,782.804,0,0,0.2,0.271139
756.685,768.548,754.866,782.23,0,0,0.2,0.273641
755.219,768.381,754.531,782.231,0,0,0.2,0.277004
753.897,768.914,755.131,782.697,0,0,0.2,0.275657
752.848,768.246,754.452,782.039,0,0,0.2,0.27587
751.829,768.428,754.418,782.438,0,0,0.2,0.2802
750.954,767.824,753.804,781.843,0,0,0.2,0.280397
750.233,768.122,754.212,782.033,0,0,0.2,0.278208
750.305,768.103,754.048,782.158,0,0,0.2,0.281103
751.002,767.727,753.397,782.058,0,0,0.2,0.286607
751.725,766.879,752.789,780.969,0,0,0.2,0.281803
752.824,767.197,752.914,781.48,0,0,0.2,0.285662
753.776,767.397,753.357,781.438,0,0,0.2,0.280806
755.037,767.296,753.088,781.504,0,0,0.2,0.284159
